mode, phrase, top_cut, decay, title, link, score
mean_pooling, comfy mountain shoes, 10, 1, Mens Sirkos GTX Shoe, https://www.cotswoldoutdoor.com/p/lowa-mens-sirkos-gtx-shoe-B1212173.html, 49.59108851095794, "Ideal walking shoes"
mean_pooling, comfy mountain shoes, 10, 1, Womens Durban GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-womens-durban-gtx-shoe-B2212159.html, 49.5350699075397, "Comfortable shoes"
mean_pooling, comfy mountain shoes, 10, 1, Mens Kiwi Pro Stretch Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-mens-kiwi-pro-stretch-trousers-A1B12906.html, 49.01129247643277, "Super light comfy and good pockets"
mean_pooling, large tent, 10, 1, Beta 350XL Tent, https://www.cotswoldoutdoor.com/p/vango-beta-350xl-tent-D1412217.html, 57.66133481260004, "Large porch"
mean_pooling, large tent, 10, 1, Mens Oasis Hat, https://www.cotswoldoutdoor.com/p/white-rock-mens-oasis-hat-A3412028.html, 47.85267602404435, "Large brim"
mean_pooling, large tent, 10, 1, Mens Terra Pants, https://www.cotswoldoutdoor.com/p/montane-mens-terra-pants-A1B12123.html, 46.11411283204944, "Great cut"
mean_pooling, large tent, 10, 1, Boot Bag, https://www.cotswoldoutdoor.com/p/cotswold-outdoor-boot-bag-B9244028.html, 45.204742447162445, "Great size"
mean_pooling, large tent, 10, 1, Down Wash 300ml, https://www.cotswoldoutdoor.com/p/nikwax-down-wash-300ml-E9714001.html, 44.468817951294085, "Small bottle"
mean_pooling, large tent, 10, 1, Mens Oakridge Waterproof Shoe, https://www.cotswoldoutdoor.com/p/keen-mens-oakridge-waterproof-shoe-B1212215.html, 44.27577719613089, "wide fit"
mean_pooling, large tent, 10, 1, Mens Respond GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-mens-respond-gtx-shoe-B1222278.html, 43.60287557855778, "wide fitting"
mean_pooling, large tent, 10, 1, Womens Merino Hiker Sock, https://www.cotswoldoutdoor.com/p/bridgedale-womens-merino-hiker-sock-B6114101.html, 43.24174387001269, "Decent pair of socks"
mean_pooling, large tent, 10, 1, Mens Kiwi Pro Stretch Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-mens-kiwi-pro-stretch-trousers-A1B12906.html, 42.85432574620813, "flexible fit"
mean_pooling, large tent, 10, 1, Thermal Mug, https://www.cotswoldoutdoor.com/p/lifeventure-thermal-mug-D3432028.html, 42.44934306081438, "Good seal"
mean_pooling, walking poles, 10, 1, Womens Merino Hiker Sock, https://www.cotswoldoutdoor.com/p/bridgedale-womens-merino-hiker-sock-B6114101.html, 52.59876740911808, "Shape for walking"
mean_pooling, walking poles, 10, 1, Mens Kiwi Pro Stretch Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-mens-kiwi-pro-stretch-trousers-A1B12906.html, 51.38910541289727, "flexible fit"
mean_pooling, walking poles, 10, 1, Kiwi Pro Winter Lined Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-kiwi-pro-winter-lined-trousers-A4B14837.html, 51.16802154589602, "Warm legs"
mean_pooling, walking poles, 10, 1, Mens Bhutan MFS Boot, https://www.cotswoldoutdoor.com/p/meindl-mens-bhutan-mfs-boot-B1122581.html, 51.10315132420832, "Solid boots"
mean_pooling, walking poles, 10, 1, Mens Respond GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-mens-respond-gtx-shoe-B1222278.html, 49.28724150350472, "wide fitting"
mean_pooling, walking poles, 10, 1, Mens Oakridge Waterproof Shoe, https://www.cotswoldoutdoor.com/p/keen-mens-oakridge-waterproof-shoe-B1212215.html, 47.486869120888336, "wide fitting"
mean_pooling, walking poles, 10, 1, Mens All Season Glove, https://www.cotswoldoutdoor.com/p/sealskinz-mens-all-season-glove-A3214700.html, 47.47851018396573, "Good size fingers"
mean_pooling, walking poles, 10, 1, Mens Cyrus GTX Shoe, https://www.cotswoldoutdoor.com/p/scarpa-mens-cyrus-gtx-shoe-B1222516.html, 47.29150884228803, "Great walking shoe"
mean_pooling, walking poles, 10, 1, Womens Sawtooth Pants, https://www.cotswoldoutdoor.com/p/rab-womens-sawtooth-pants-A4B14882.html, 46.68458936326118, "Stretchy"
mean_pooling, walking poles, 10, 1, Mens Terra Pants, https://www.cotswoldoutdoor.com/p/montane-mens-terra-pants-A1B12123.html, 45.86292076339586, "Great cut"
mean_pooling, zapatos confortables, 10, 1, Womens Merino Hiker Sock, https://www.cotswoldoutdoor.com/p/bridgedale-womens-merino-hiker-sock-B6114101.html, 45.40578006995926, "Comfortable socks"
mean_pooling, zapatos confortables, 10, 1, Mens Bhutan MFS Boot, https://www.cotswoldoutdoor.com/p/meindl-mens-bhutan-mfs-boot-B1122581.html, 43.67189603046388, "Comfortable boot"
mean_pooling, zapatos confortables, 10, 1, Mens Kiwi Pro Stretch Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-mens-kiwi-pro-stretch-trousers-A1B12906.html, 43.310463782371606, "Comfortable fit"
mean_pooling, zapatos confortables, 10, 1, Womens Tibai GTX Mid Boot, https://www.cotswoldoutdoor.com/p/salomon-womens-tibai-gtx-mid-boot-B2134333.html, 42.209839599636844, "Comfortable boots"
mean_pooling, zapatos confortables, 10, 1, Womens Bhutan MFS Boot, https://www.cotswoldoutdoor.com/p/meindl-womens-bhutan-mfs-boot-B2122367.html, 40.68914023245834, "comfortable inners"
mean_pooling, zapatos confortables, 10, 1, Mens Ibex Pants, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-ibex-pants-A1B12775.html, 40.3844507459069, "comfortable fit"
mean_pooling, zapatos confortables, 10, 1, Mens Renegade GTX Mid Boot, https://www.cotswoldoutdoor.com/p/lowa-mens-renegade-gtx-mid-boot-B1134061.html, 40.15067829744907, "good quality boots"
mean_pooling, zapatos confortables, 10, 1, Mens Terra Fi 4 Sandal, https://www.cotswoldoutdoor.com/p/teva-mens-terra-fi-4-sandal-B1414177.html, 39.801332085514915, "Comfortable fit"
mean_pooling, zapatos confortables, 10, 1, Womens Durban GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-womens-durban-gtx-shoe-B2212159.html, 39.60551263844823, "Comfortable shoes"
mean_pooling, zapatos confortables, 10, 1, Kiwi Pro Winter Lined Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-kiwi-pro-winter-lined-trousers-A4B14837.html, 39.09150408500557, "Comfortable fitting"
max_pooling_total, warm jacket, 10, 1, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 68.04216546971722, "Excellent jacket"
max_pooling_total, warm jacket, 10, 1, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 58.55469199555453, "Excellent jacket"
max_pooling_total, warm jacket, 10, 1, Men's Evolve II Triclimate Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-men-s-evolve-ii-triclimate-jacket-A1312159.html, 54.95542496550267, "Great jacket"
max_pooling_total, warm jacket, 10, 1, Womens Manaslu Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-womens-manaslu-jacket-A4116182.html, 47.097886303893006, "Great jacket"
max_pooling_total, warm jacket, 10, 1, Mens Nimble Hoodie, https://www.cotswoldoutdoor.com/p/the-north-face-mens-nimble-hoodie-A1512946.html, 44.2587639514994, "Good light jacket"
max_pooling_total, warm jacket, 10, 1, Kiwi Pro Winter Lined Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-kiwi-pro-winter-lined-trousers-A4B14837.html, 38.9698260745799, "Warm legs"
max_pooling_total, warm jacket, 10, 1, Mens Respond GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-mens-respond-gtx-shoe-B1222278.html, 38.91310425472313, "Great shoe"
max_pooling_total, warm jacket, 10, 1, Men's Vapour-rise Alpine Jacket, https://www.cotswoldoutdoor.com/p/rab-men-s-vapour-rise-alpine-jacket-A1512937.html, 38.14532462809862, "nice jacket"
max_pooling_total, warm jacket, 10, 1, Mens Kiwi Pro Stretch Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-mens-kiwi-pro-stretch-trousers-A1B12906.html, 37.69240288629066, "good slim fit"
max_pooling_total, warm jacket, 10, 1, Mens All Season Glove, https://www.cotswoldoutdoor.com/p/sealskinz-mens-all-season-glove-A3214700.html, 37.336886477990774, "Waterproof"
max_pooling_total, comfy mountain shoes, 10, 1, Mens Vortex GTX Shoe, https://www.cotswoldoutdoor.com/p/scarpa-mens-vortex-gtx-shoe-B1222300.html, 52.35560468969408, "comfy shoes"
max_pooling_total, comfy mountain shoes, 10, 1, Mens All Season Glove, https://www.cotswoldoutdoor.com/p/sealskinz-mens-all-season-glove-A3214700.html, 36.89989483365872, "Nice comfy glove"
max_pooling_total, comfy mountain shoes, 10, 1, Womens Cyrus GTX Shoe, https://www.cotswoldoutdoor.com/p/scarpa-womens-cyrus-gtx-shoe-B2222319.html, 36.87628142879098, "Sturdy comfortable shoes"
max_pooling_total, comfy mountain shoes, 10, 1, Mens Respond GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-mens-respond-gtx-shoe-B1222278.html, 36.727710001684606, "comfortable shoe"
max_pooling_total, comfy mountain shoes, 10, 1, Womens Merino Hiker Sock, https://www.cotswoldoutdoor.com/p/bridgedale-womens-merino-hiker-sock-B6114101.html, 36.59558206542303, "Very comfy sock"
max_pooling_total, comfy mountain shoes, 10, 1, Womens Durban GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-womens-durban-gtx-shoe-B2212159.html, 36.385457722338394, "Comfortable shoes"
max_pooling_total, comfy mountain shoes, 10, 1, Womens Siren Sport Gore-Tex XCR Shoe, https://www.cotswoldoutdoor.com/p/merrell-womens-siren-sport-gore-tex-xcr-shoe-B2222091.html, 35.74353596052626, "Waterproof comfort"
max_pooling_total, comfy mountain shoes, 10, 1, Mens Kiwi Pro Stretch Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-mens-kiwi-pro-stretch-trousers-A1B12906.html, 35.62495772189162, "Super light comfy and good pockets"
max_pooling_total, comfy mountain shoes, 10, 1, Mens Sirkos GTX Shoe, https://www.cotswoldoutdoor.com/p/lowa-mens-sirkos-gtx-shoe-B1212173.html, 35.44904798726445, "Ideal walking shoes"
max_pooling_total, comfy mountain shoes, 10, 1, Womens Green Lake Zip Off Trousers, https://www.cotswoldoutdoor.com/p/the-north-face-womens-green-lake-zip-off-trousers-A4B24051.html, 35.07911752578621, "Comfy walking trousers"
max_pooling_total, large tent, 10, 1, Beta 350XL Tent, https://www.cotswoldoutdoor.com/p/vango-beta-350xl-tent-D1412217.html, 37.62224786500827, "Large porch"
max_pooling_total, large tent, 10, 1, Mens Terra Pants, https://www.cotswoldoutdoor.com/p/montane-mens-terra-pants-A1B12123.html, 33.65568334431986, "Great cut"
max_pooling_total, large tent, 10, 1, Boot Bag, https://www.cotswoldoutdoor.com/p/cotswold-outdoor-boot-bag-B9244028.html, 32.55227525464884, "Great size"
max_pooling_total, large tent, 10, 1, Mens Oakridge Waterproof Shoe, https://www.cotswoldoutdoor.com/p/keen-mens-oakridge-waterproof-shoe-B1212215.html, 32.48216577422522, "wide fitting"
max_pooling_total, large tent, 10, 1, Mens Respond GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-mens-respond-gtx-shoe-B1222278.html, 32.37304249098159, "wide fitting"
max_pooling_total, large tent, 10, 1, Down Wash 300ml, https://www.cotswoldoutdoor.com/p/nikwax-down-wash-300ml-E9714001.html, 32.017233456000646, "Small bottle"
max_pooling_total, large tent, 10, 1, Mens Oasis Hat, https://www.cotswoldoutdoor.com/p/white-rock-mens-oasis-hat-A3412028.html, 31.48189216508713, "Large brim"
max_pooling_total, large tent, 10, 1, Mens Kiwi Pro Stretch Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-mens-kiwi-pro-stretch-trousers-A1B12906.html, 30.68830076455655, "flexible fit"
max_pooling_total, large tent, 10, 1, Thermal Mug, https://www.cotswoldoutdoor.com/p/lifeventure-thermal-mug-D3432028.html, 30.511302928995413, "Good seal"
max_pooling_total, large tent, 10, 1, Mens Bhutan MFS Boot, https://www.cotswoldoutdoor.com/p/meindl-mens-bhutan-mfs-boot-B1122581.html, 30.24251633895906, "Comfortable boot"
max_pooling_total, walking poles, 10, 1, Womens Merino Hiker Sock, https://www.cotswoldoutdoor.com/p/bridgedale-womens-merino-hiker-sock-B6114101.html, 42.522853116209156, "Shape for walking"
max_pooling_total, walking poles, 10, 1, Kiwi Pro Winter Lined Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-kiwi-pro-winter-lined-trousers-A4B14837.html, 41.39242964598694, "Warm legs"
max_pooling_total, walking poles, 10, 1, Mens Kiwi Pro Stretch Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-mens-kiwi-pro-stretch-trousers-A1B12906.html, 40.72482932291735, "flexible fit"
max_pooling_total, walking poles, 10, 1, Mens Bhutan MFS Boot, https://www.cotswoldoutdoor.com/p/meindl-mens-bhutan-mfs-boot-B1122581.html, 38.17215947820743, "Comfortable boot"
max_pooling_total, walking poles, 10, 1, Mens Respond GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-mens-respond-gtx-shoe-B1222278.html, 37.830417037689266, "wide fitting"
max_pooling_total, walking poles, 10, 1, Womens Sawtooth Pants, https://www.cotswoldoutdoor.com/p/rab-womens-sawtooth-pants-A4B14882.html, 37.793342849833735, "Stretchy"
max_pooling_total, walking poles, 10, 1, Mens Oakridge Waterproof Shoe, https://www.cotswoldoutdoor.com/p/keen-mens-oakridge-waterproof-shoe-B1212215.html, 37.65384345231138, "wide fitting"
max_pooling_total, walking poles, 10, 1, Mens Ibex Pants, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-ibex-pants-A1B12775.html, 37.487967492227234, "Good fit"
max_pooling_total, walking poles, 10, 1, Mens Stainton Half Zip Fleece, https://www.cotswoldoutdoor.com/p/berghaus-mens-stainton-half-zip-fleece-A1732564.html, 37.36777155985293, "Good fit"
max_pooling_total, walking poles, 10, 1, Mens Terra Pants, https://www.cotswoldoutdoor.com/p/montane-mens-terra-pants-A1B12123.html, 36.93752392522864, "Great cut"
max_pooling_total, zapatos confortables, 10, 1, Womens Merino Hiker Sock, https://www.cotswoldoutdoor.com/p/bridgedale-womens-merino-hiker-sock-B6114101.html, 30.715812323811868, "Comfortable socks"
max_pooling_total, zapatos confortables, 10, 1, Mens Kiwi Pro Stretch Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-mens-kiwi-pro-stretch-trousers-A1B12906.html, 30.552819469582293, "Comfortable stretch fitting"
max_pooling_total, zapatos confortables, 10, 1, Mens Bhutan MFS Boot, https://www.cotswoldoutdoor.com/p/meindl-mens-bhutan-mfs-boot-B1122581.html, 30.001035860951227, "Very comfortable boots"
max_pooling_total, zapatos confortables, 10, 1, Womens Vego Mid Leather Waterproof Boot, https://www.cotswoldoutdoor.com/p/merrell-womens-vego-mid-leather-waterproof-boot-B2122720.html, 29.60143625445369, "Very comfortable, lightweight boots"
max_pooling_total, zapatos confortables, 10, 1, Womens Bhutan MFS Boot, https://www.cotswoldoutdoor.com/p/meindl-womens-bhutan-mfs-boot-B2122367.html, 29.48849994188739, "comfortable inners"
max_pooling_total, zapatos confortables, 10, 1, Womens Tibai GTX Mid Boot, https://www.cotswoldoutdoor.com/p/salomon-womens-tibai-gtx-mid-boot-B2134333.html, 29.474789397699464, "Comfortable boots"
max_pooling_total, zapatos confortables, 10, 1, Womens Green Lake Zip Off Trousers, https://www.cotswoldoutdoor.com/p/the-north-face-womens-green-lake-zip-off-trousers-A4B24051.html, 28.991762098124948, "Zip pockets"
max_pooling_total, zapatos confortables, 10, 1, Mens Traverse Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-mens-traverse-trousers-A1B13758.html, 28.96200169656106, "Zip pockets"
max_pooling_total, zapatos confortables, 10, 1, Kiwi Pro Winter Lined Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-kiwi-pro-winter-lined-trousers-A4B14837.html, 28.829944890336385, "warm comfortable trousers"
max_pooling_total, zapatos confortables, 10, 1, Womens Durban GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-womens-durban-gtx-shoe-B2212159.html, 28.666878065582512, "Comfortable shoes"
max_pooling_single, warm jacket, 10, 1, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 115.49047747868818, "Great jacket"
max_pooling_single, warm jacket, 10, 1, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 102.74009719302445, "Excellent jacket"
max_pooling_single, warm jacket, 10, 1, Men's Evolve II Triclimate Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-men-s-evolve-ii-triclimate-jacket-A1312159.html, 101.52594104736032, "Great jacket"
max_pooling_single, warm jacket, 10, 1, Mens Nimble Hoodie, https://www.cotswoldoutdoor.com/p/the-north-face-mens-nimble-hoodie-A1512946.html, 97.48717326206426, "Good light jacket"
max_pooling_single, warm jacket, 10, 1, Men's Vapour-rise Alpine Jacket, https://www.cotswoldoutdoor.com/p/rab-men-s-vapour-rise-alpine-jacket-A1512937.html, 95.52637692160303, "nice jacket"
max_pooling_single, warm jacket, 10, 1, Mens Paclite 2.0 Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-paclite-2-0-jacket-A1114369.html, 86.59302997494684, "Lightweight Gortex jacket"
max_pooling_single, warm jacket, 10, 1, Men's Paradiso Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-men-s-paradiso-jacket-A1114165.html, 85.03661749440477, "Good sturdy tidy jacket"
max_pooling_single, warm jacket, 10, 1, Womens Manaslu Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-womens-manaslu-jacket-A4116182.html, 84.751157710702, "Great jacket"
max_pooling_single, warm jacket, 10, 1, Womens Glissade IA Jacket, https://www.cotswoldoutdoor.com/p/berghaus-womens-glissade-ia-jacket-A4114789.html, 84.00126160529273, "Good foldaway hood"
max_pooling_single, warm jacket, 10, 1, Womens Tokee Fleece Jacket, https://www.cotswoldoutdoor.com/p/jack-wolfskin-womens-tokee-fleece-jacket-A4725280.html, 80.98007051727797, "smashing jacket"
max_pooling_single, comfy mountain shoes, 10, 1, Mens Vortex GTX Shoe, https://www.cotswoldoutdoor.com/p/scarpa-mens-vortex-gtx-shoe-B1222300.html, 55.37447493190029, "comfy shoes"
max_pooling_single, comfy mountain shoes, 10, 1, Mens Sirkos GTX Shoe, https://www.cotswoldoutdoor.com/p/lowa-mens-sirkos-gtx-shoe-B1212173.html, 46.414217554534694, "Ideal walking shoes"
max_pooling_single, comfy mountain shoes, 10, 1, Mens Respond GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-mens-respond-gtx-shoe-B1222278.html, 43.583436607758365, "comfortable shoe"
max_pooling_single, comfy mountain shoes, 10, 1, Mens Terra Pants, https://www.cotswoldoutdoor.com/p/montane-mens-terra-pants-A1B12123.html, 40.16189240740959, "Crotch breathing vents"
max_pooling_single, comfy mountain shoes, 10, 1, Spirit VCR Climbing Shoe, https://www.cotswoldoutdoor.com/p/red-chili-spirit-vcr-climbing-shoe-F1112170.html, 39.02869622088285, "excellent beginner shoe"
max_pooling_single, comfy mountain shoes, 10, 1, Mens Renegade GTX Mid Boot, https://www.cotswoldoutdoor.com/p/lowa-mens-renegade-gtx-mid-boot-B1134061.html, 38.92463219865011, "great allround  boot"
max_pooling_single, comfy mountain shoes, 10, 1, Mens Oasis Hat, https://www.cotswoldoutdoor.com/p/white-rock-mens-oasis-hat-A3412028.html, 38.83161132675357, "Nice comfy sun hat"
max_pooling_single, comfy mountain shoes, 10, 1, LTM6 Airflo Hat, https://www.cotswoldoutdoor.com/p/tilley-ltm6-airflo-hat-A3412033.html, 38.53403112152094, "Chic head wear"
max_pooling_single, comfy mountain shoes, 10, 1, Mens Bhutan MFS Boot, https://www.cotswoldoutdoor.com/p/meindl-mens-bhutan-mfs-boot-B1122581.html, 37.946838026316215, "Out of the box comfy"
max_pooling_single, comfy mountain shoes, 10, 1, Womens Paclite Pants, https://www.cotswoldoutdoor.com/p/berghaus-womens-paclite-pants-A4A14016.html, 36.123819167648584, "light and waterproof just like they say"
max_pooling_single, large tent, 10, 1, Beta 350XL Tent, https://www.cotswoldoutdoor.com/p/vango-beta-350xl-tent-D1412217.html, 86.63474887689428, "Large porch"
max_pooling_single, large tent, 10, 1, Mens Oasis Hat, https://www.cotswoldoutdoor.com/p/white-rock-mens-oasis-hat-A3412028.html, 67.64820160480436, "Large brim"
max_pooling_single, large tent, 10, 1, Down Wash 300ml, https://www.cotswoldoutdoor.com/p/nikwax-down-wash-300ml-E9714001.html, 59.04611444712067, "Small bottle"
max_pooling_single, large tent, 10, 1, Mens Terra Pants, https://www.cotswoldoutdoor.com/p/montane-mens-terra-pants-A1B12123.html, 57.333052079516634, "Great cut"
max_pooling_single, large tent, 10, 1, Mens Oakridge Waterproof Shoe, https://www.cotswoldoutdoor.com/p/keen-mens-oakridge-waterproof-shoe-B1212215.html, 57.10726143717744, "wide fitting"
max_pooling_single, large tent, 10, 1, Womens Merino Hiker Sock, https://www.cotswoldoutdoor.com/p/bridgedale-womens-merino-hiker-sock-B6114101.html, 57.098330608290425, "Decent pair of socks"
max_pooling_single, large tent, 10, 1, Boot Bag, https://www.cotswoldoutdoor.com/p/cotswold-outdoor-boot-bag-B9244028.html, 55.3662751415105, "Good size"
max_pooling_single, large tent, 10, 1, Mens Respond GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-mens-respond-gtx-shoe-B1222278.html, 54.327402876298926, "wide fitting"
max_pooling_single, large tent, 10, 1, T5 Cotton Duck Hat, https://www.cotswoldoutdoor.com/p/tilley-t5-cotton-duck-hat-A3412025.html, 53.98675190399091, "Wide brim"
max_pooling_single, large tent, 10, 1, Womens Whistler Fleece, https://www.cotswoldoutdoor.com/p/ayacucho-womens-whistler-fleece-A4754058.html, 52.790526802854416, "Very soft fabric"
max_pooling_single, walking poles, 10, 1, Mens Bhutan MFS Boot, https://www.cotswoldoutdoor.com/p/meindl-mens-bhutan-mfs-boot-B1122581.html, 67.88854159008086, "Solid boots"
max_pooling_single, walking poles, 10, 1, Mens Kiwi Pro Stretch Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-mens-kiwi-pro-stretch-trousers-A1B12906.html, 65.07385282073712, "Comfortable stretchy fit"
max_pooling_single, walking poles, 10, 1, Womens Merino Hiker Sock, https://www.cotswoldoutdoor.com/p/bridgedale-womens-merino-hiker-sock-B6114101.html, 64.85406906000904, "Shape for walking"
max_pooling_single, walking poles, 10, 1, Kiwi Pro Winter Lined Trousers, https://www.cotswoldoutdoor.com/p/craghoppers-kiwi-pro-winter-lined-trousers-A4B14837.html, 62.82587077001576, "Warm legs"
max_pooling_single, walking poles, 10, 1, Mens Oakridge Waterproof Shoe, https://www.cotswoldoutdoor.com/p/keen-mens-oakridge-waterproof-shoe-B1212215.html, 62.70930106759522, "wide fitting"
max_pooling_single, walking poles, 10, 1, Mens All Season Glove, https://www.cotswoldoutdoor.com/p/sealskinz-mens-all-season-glove-A3214700.html, 61.80026710056344, "Good size fingers"
max_pooling_single, walking poles, 10, 1, Mens Respond GTX Shoe, https://www.cotswoldoutdoor.com/p/meindl-mens-respond-gtx-shoe-B1222278.html, 61.61337821316328, "wide fitting"
max_pooling_single, walking poles, 10, 1, Womens Glissade IA Jacket, https://www.cotswoldoutdoor.com/p/berghaus-womens-glissade-ia-jacket-A4114789.html, 57.99688752986675, "Waterproof"
max_pooling_single, walking poles, 10, 1, Mens Deluge Overtrousers, https://www.cotswoldoutdoor.com/p/berghaus-mens-deluge-overtrousers-A1A12080.html, 57.89610573772988, "Zips on legs"
max_pooling_single, walking poles, 10, 1, Mens Ranger 2 GTX Activ Boot, https://www.cotswoldoutdoor.com/p/scarpa-mens-ranger-2-gtx-activ-boot-B1122365.html, 57.82059733744269, "Wide fitting"
max_pooling_single, zapatos confortables, 10, 1, Mens Bhutan MFS Boot, https://www.cotswoldoutdoor.com/p/meindl-mens-bhutan-mfs-boot-B1122581.html, 54.82789053758039, "Solid boots"
